Date,Open,High,Low,Close,Adj Close,Volume
2018-03-01,110.914642,112.631081,81.026810,85.222549,83.989594,420346169
2018-04-01,85.712959,99.226715,80.154968,89.891129,88.590645,286283745
2018-05-01,89.891129,90.789398,74.203491,77.636162,76.512970,192412252
2018-06-01,77.636162,88.030426,69.744225,72.599442,71.549110,204014415
2018-07-01,72.374870,132.655182,64.707497,125.404861,123.590576,687765190
2018-08-01,125.757751,151.839661,114.850197,144.525177,142.884720,530802132
2018-09-01,145.006393,170.649994,125.599998,130.600006,129.117615,389756228
2018-10-01,127.000000,176.699997,121.349998,170.000000,168.070374,175616032
2018-11-01,171.050003,179.500000,154.250000,165.000000,163.127136,105919031
2018-12-01,166.050003,168.500000,134.500000,161.000000,159.172546,96089102
2019-01-01,160.899994,162.350006,118.949997,137.149994,135.593246,70910257
2019-02-01,136.949997,144.800003,114.800003,128.850006,127.387466,141034752
2019-03-01,130.350006,150.750000,128.850006,146.750000,145.084305,101658898
2019-04-01,147.449997,153.300003,125.000000,127.050003,125.607895,84096284
2019-05-01,127.050003,180.800003,113.000000,154.750000,152.993469,259447184
2019-06-01,154.000000,161.899994,140.350006,150.500000,148.791718,95314002
2019-07-01,150.649994,161.800003,123.849998,128.800003,127.338036,134769773
2019-08-01,128.600006,138.300003,121.150002,137.350006,136.204193,100071949
2019-09-01,137.350006,155.399994,130.600006,145.850006,144.633301,83432166
2019-10-01,146.100006,201.300003,134.100006,199.649994,197.984467,118061508
2019-11-01,199.000000,221.500000,194.050003,214.899994,213.107254,88000203
2019-12-01,212.000000,220.800003,202.399994,208.350006,206.611893,57055289
2020-01-01,209.000000,238.350006,194.550003,229.449997,227.535873,84990733
2020-02-01,228.000000,261.000000,215.600006,218.649994,216.825958,78330548
2020-03-01,223.000000,228.649994,116.400002,137.600006,136.452133,91280370
2020-04-01,138.949997,155.449997,128.000000,141.399994,141.246155,62516129
2020-05-01,141.399994,153.600006,127.300003,148.350006,148.188614,68687648
2020-06-01,150.000000,169.199997,141.000000,156.250000,156.080002,109059623
2020-07-01,157.149994,190.850006,145.199997,175.250000,175.059326,87015119
2020-08-01,175.250000,322.399994,171.199997,279.549988,279.245850,225494825
2020-09-01,279.950012,307.950012,257.500000,297.100006,296.776764,172657113
2020-10-01,299.799988,347.500000,296.000000,339.700012,339.330414,116033307
2020-11-01,339.100006,415.500000,333.049988,398.399994,397.966522,108853748
2020-12-01,398.000000,507.000000,395.100006,479.549988,479.028229,132288318
2021-01-01,477.000000,552.950012,477.000000,506.649994,506.098755,90013005
2021-02-01,510.500000,862.400024,496.899994,833.650024,832.743042,197824433
2021-03-01,840.750000,1093.000000,836.450012,1031.150024,1030.028198,195970812
2021-04-01,1043.400024,1251.599976,1035.000000,1158.699951,1157.439331,201670814
2021-05-01,1145.099976,1351.550049,1122.650024,1316.300049,1314.867920,157350068
2021-06-01,1319.900024,1717.199951,1201.199951,1507.550049,1505.909912,334853920
2021-07-01,1509.550049,1522.550049,1332.750000,1420.250000,1418.704712,97114255
2021-08-01,1435.000000,1596.849976,1361.550049,1587.599976,1586.925415,92445588
2021-09-01,1594.900024,1628.449951,1381.349976,1468.099976,1467.476196,73266296
2021-10-01,1465.000000,1672.949951,1367.699951,1423.599976,1422.995117,57811330
2021-11-01,1436.000000,1788.900024,1411.199951,1662.849976,1662.143433,56435685
2021-12-01,1694.000000,1788.000000,1555.199951,1709.449951,1708.723511,33501701
2022-01-01,1713.000000,1908.500000,1654.500000,1714.949951,1714.221191,39454077
2022-02-01,1727.949951,1809.000000,1528.800049,1644.449951,1643.751221,30103337
2022-03-01,1644.449951,2042.000000,1539.300049,2014.750000,2013.893921,33084069
2022-04-01,2018.000000,2420.949951,2013.050049,2332.000000,2331.009033,40068588
2022-05-01,2325.000000,2362.899902,1906.199951,2167.550049,2166.628906,33918429
2022-06-01,2169.949951,2274.000000,2025.000000,2190.899902,2189.968994,40585829
2022-07-01,2189.899902,2622.000000,2138.250000,2569.199951,2568.108154,23823202
2022-08-01,2575.850098,3263.100098,2569.199951,3194.350098,3194.350098,47295403
2022-09-01,3200.000000,3885.000000,3184.399902,3455.750000,3455.750000,83930311
2022-10-01,3440.000000,3460.050049,3110.199951,3347.449951,3347.449951,40771715
2022-11-01,3361.899902,4096.000000,3352.000000,3917.899902,3917.899902,53422331
2022-12-01,3937.500000,4190.000000,3616.800049,3858.350098,3858.350098,40808180
2023-01-01,3870.000000,3880.000000,2665.000000,2973.899902,2973.899902,79652039
2023-02-01,2995.000000,3010.750000,1017.450012,1846.949951,1846.949951,179169394
2023-02-10,1769.000000,1990.000000,1733.150024,1853.000000,1853.000000,11334878
